especie,nome_comum,status_2014,status_2026,is_cr,proba_extincao,bioma_amazonia,bioma_mata_atlantica,bioma_cerrado,bioma_caatinga,bioma_pampa,bioma_pantanal,bioma_sistema_costeiro_marinho,regiao_norte,regiao_nordeste,regiao_sudeste,regiao_sul,regiao_centro_oeste,is_endemica,is_migratoria,tendencia_declinando,ameaca_expansao_urbana,ameaca_agropecuaria,ameaca_energia_mineracao,ameaca_transporte,ameaca_uso_recursos,ameaca_perturbacao_humana,ameaca_modificacoes_sistema,ameaca_invasoras,ameaca_poluicao,ameaca_mudancas_climaticas,risco_inicial_2014
Limnoctites sulphuriferus,arredio-de-papo-manchado,NE,LC,0,0.2890453051961261,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.0
Campylorhamphus trochilirostris,arapaçu-beija-ﬂor,NE,VU,0,0.2871345955098191,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.0
Phylloscartes roquettei,cara-dourada,EN,EN,0,0.2868289654692332,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,2.0
Scytalopus novacapitalis,tapaculo-de-brasília,EN,EN,0,0.2848389986525374,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,2.0
Hydropsalis candicans,bacurau-de-rabo-branco,EN,EN,0,0.28181991470894313,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,2.0
Caryothraustes brasiliensis,furriel,NE,LC,0,0.28134725476533856,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0.0
Microspingus cinereus,capacetinho-do-oco-do-pau,NE,LC,0,0.2811344016706548,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0.0
Sporophila frontalis,pixoxó,VU,VU,0,0.2795023546140249,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1.0
Thamnomanes caesius,ipecuá,NE,EN,0,0.2782568716445483,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.0
Dysithamnus plumbeus,choquinha-chumbo,EN,EN,0,0.2753642984120832,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2.0
Spinus yarrellii,pintassilgo-do-nordeste,VU,VU,0,0.273983233426277,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1.0
Formicivora grantsaui,papa-formiga-do-sincorá,EN,VU,0,0.2692537764806332,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,2.0
Amadonastur lacernulatus,gavião-pombo-pequeno,VU,VU,0,0.26905762026354396,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1.0
Hemitriccus kaempferi,maria-catarinense,VU,VU,0,0.26743544396684,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1.0
